hp_kw,km,age,price,make_model_Audi_A1,make_model_Audi_A3,make_model_Opel_Astra,make_model_Opel_Corsa,make_model_Opel_Insignia,make_model_Renault_Clio,make_model_Renault_Duster,make_model_Renault_Espace,gearing_type_Automatic,gearing_type_Manual,gearing_type_Semi_Automatic
66.0,44120.0,3.0,11490,1,0,0,0,0,0,0,0,0,1,0
70.0,97976.0,3.0,11490,1,0,0,0,0,0,0,0,0,1,0
66.0,106000.0,3.0,11500,1,0,0,0,0,0,0,0,0,1,0
85.0,60000.0,3.0,11790,1,0,0,0,0,0,0,0,0,1,0
60.0,58000.0,3.0,11490,1,0,0,0,0,0,0,0,0,1,0
60.0,57454.0,3.0,11470,1,0,0,0,0,0,0,0,0,1,0
66.0,94055.0,3.0,11480,1,0,0,0,0,0,0,0,0,1,0
70.0,56000.0,3.0,11180,1,0,0,0,0,0,0,0,0,1,0
70.0,27600.0,3.0,11450,1,0,0,0,0,0,0,0,0,1,0
85.0,111670.0,3.0,11100,1,0,0,0,0,0,0,0,0,1,0
66.0,30500.0,3.0,10900,1,0,0,0,0,0,0,0,0,1,0
70.0,69500.0,2.0,10999,1,0,0,0,0,0,0,0,0,1,0
60.0,43500.0,3.0,10900,1,0,0,0,0,0,0,0,0,1,0
70.0,45696.0,3.0,10950,1,0,0,0,0,0,0,0,0,1,0
66.0,34000.0,3.0,10800,1,0,0,0,0,0,0,0,0,1,0
70.0,55000.0,3.0,10600,1,0,0,0,0,0,0,0,0,1,0
66.0,99000.0,3.0,10800,1,0,0,0,0,0,0,0,0,1,0
70.0,118500.0,3.0,9950,1,0,0,0,0,0,0,0,0,1,0
70.0,85000.0,3.0,10300,1,0,0,0,0,0,0,0,0,1,0
85.0,192000.0,3.0,10000,1,0,0,0,0,0,0,0,0,1,0
66.0,130000.0,3.0,10490,1,0,0,0,0,0,0,0,0,1,0
71.0,41294.0,3.0,18900,1,0,0,0,0,0,0,0,1,0,0
85.0,64000.0,2.0,18900,1,0,0,0,0,0,0,0,1,0,0
70.0,13135.0,1.0,18900,1,0,0,0,0,0,0,0,1,0,0
70.0,4250.0,2.0,18900,1,0,0,0,0,0,0,0,1,0,0
70.0,2949.0,1.0,18890,1,0,0,0,0,0,0,0,1,0,0
71.0,17861.0,2.0,18890,1,0,0,0,0,0,0,0,1,0,0
92.0,22800.0,2.0,18890,1,0,0,0,0,0,0,0,1,0,0
70.0,5108.0,2.0,18880,1,0,0,0,0,0,0,0,1,0,0
70.0,11335.0,1.0,18880,1,0,0,0,0,0,0,0,1,0,0
70.0,6396.0,1.0,18880,1,0,0,0,0,0,0,0,1,0,0
85.0,47800.0,3.0,18880,1,0,0,0,0,0,0,0,1,0,0
70.0,7021.0,1.0,18880,1,0,0,0,0,0,0,0,1,0,0
92.0,30952.0,3.0,18880,1,0,0,0,0,0,0,0,1,0,0
92.0,33991.0,3.0,18880,1,0,0,0,0,0,0,0,1,0,0
66.0,35800.0,2.0,18870,1,0,0,0,0,0,0,0,1,0,0
85.0,7672.0,1.0,18850,1,0,0,0,0,0,0,0,1,0,0
85.0,13406.0,1.0,18500,1,0,0,0,0,0,0,0,1,0,0
70.0,8430.0,1.0,18870,1,0,0,0,0,0,0,0,1,0,0
85.0,40488.0,3.0,18497,1,0,0,0,0,0,0,0,1,0,0
66.0,24200.0,2.0,18490,1,0,0,0,0,0,0,0,1,0,0
66.0,26500.0,2.0,18490,1,0,0,0,0,0,0,0,1,0,0
71.0,58806.0,3.0,18490,1,0,0,0,0,0,0,0,1,0,0
85.0,39000.0,3.0,18500,1,0,0,0,0,0,0,0,1,0,0
92.0,16700.0,2.0,18490,1,0,0,0,0,0,0,0,1,0,0
92.0,41900.0,3.0,18490,1,0,0,0,0,0,0,0,1,0,0
92.0,15093.0,3.0,18480,1,0,0,0,0,0,0,0,1,0,0
66.0,5211.0,1.0,18480,1,0,0,0,0,0,0,0,1,0,0
70.0,12000.0,1.0,18470,1,0,0,0,0,0,0,0,1,0,0
92.0,50066.0,3.0,18444,1,0,0,0,0,0,0,0,1,0,0
71.0,51484.0,2.0,18400,1,0,0,0,0,0,0,0,1,0,0
85.0,14770.0,1.0,18400,1,0,0,0,0,0,0,0,1,0,0
85.0,12415.0,1.0,18900,1,0,0,0,0,0,0,0,1,0,0
85.0,26064.0,1.0,18900,1,0,0,0,0,0,0,0,1,0,0
85.0,16500.0,1.0,18900,1,0,0,0,0,0,0,0,1,0,0
92.0,9000.0,3.0,18900,1,0,0,0,0,0,0,0,1,0,0
85.0,12402.0,1.0,18900,1,0,0,0,0,0,0,0,1,0,0
85.0,14702.0,1.0,18900,1,0,0,0,0,0,0,0,1,0,0
85.0,14523.0,1.0,18900,1,0,0,0,0,0,0,0,1,0,0
85.0,9082.0,1.0,18900,1,0,0,0,0,0,0,0,1,0,0
85.0,9580.0,1.0,18900,1,0,0,0,0,0,0,0,1,0,0
85.0,10013.0,1.0,18900,1,0,0,0,0,0,0,0,1,0,0
85.0,10450.0,1.0,18900,1,0,0,0,0,0,0,0,1,0,0
85.0,14878.0,1.0,18900,1,0,0,0,0,0,0,0,1,0,0
85.0,10273.0,1.0,18900,1,0,0,0,0,0,0,0,1,0,0
71.0,47500.0,3.0,18900,1,0,0,0,0,0,0,0,1,0,0
85.0,9466.0,1.0,18900,1,0,0,0,0,0,0,0,1,0,0
85.0,18971.0,1.0,18900,1,0,0,0,0,0,0,0,1,0,0
70.0,31877.0,1.0,18900,1,0,0,0,0,0,0,0,1,0,0
85.0,9878.0,1.0,18900,1,0,0,0,0,0,0,0,1,0,0
70.0,17535.0,1.0,18900,1,0,0,0,0,0,0,0,1,0,0
92.0,76264.0,3.0,18850,1,0,0,0,0,0,0,0,1,0,0
70.0,6695.0,1.0,18850,1,0,0,0,0,0,0,0,1,0,0
92.0,21275.0,3.0,18850,1,0,0,0,0,0,0,0,1,0,0
66.0,12261.0,1.0,18850,1,0,0,0,0,0,0,0,1,0,0
70.0,3620.0,1.0,18840,1,0,0,0,0,0,0,0,1,0,0
85.0,8330.0,1.0,18800,1,0,0,0,0,0,0,0,1,0,0
70.0,20306.0,1.0,18750,1,0,0,0,0,0,0,0,1,0,0
85.0,1.0,0.0,18730,1,0,0,0,0,0,0,0,1,0,0
85.0,27000.0,3.0,18700,1,0,0,0,0,0,0,0,1,0,0
92.0,31750.0,3.0,18690,1,0,0,0,0,0,0,0,1,0,0
70.0,19800.0,2.0,18600,1,0,0,0,0,0,0,0,1,0,0
85.0,52000.0,3.0,18500,1,0,0,0,0,0,0,0,1,0,0
70.0,15500.0,1.0,18500,1,0,0,0,0,0,0,0,1,0,0
92.0,25977.0,3.0,18620,1,0,0,0,0,0,0,0,1,0,0
70.0,9000.0,2.0,18500,1,0,0,0,0,0,0,0,1,0,0
66.0,65000.0,2.0,18500,1,0,0,0,0,0,0,0,1,0,0
85.0,14493.0,1.0,18500,1,0,0,0,0,0,0,0,1,0,0
92.0,33500.0,2.0,18500,1,0,0,0,0,0,0,0,1,0,0
70.0,4800.0,1.0,18333,1,0,0,0,0,0,0,0,1,0,0
70.0,51000.0,3.0,18350,1,0,0,0,0,0,0,0,1,0,0
70.0,7307.0,2.0,18349,1,0,0,0,0,0,0,0,1,0,0
70.0,4800.0,1.0,18333,1,0,0,0,0,0,0,0,1,0,0
70.0,5500.0,1.0,18333,1,0,0,0,0,0,0,0,1,0,0
66.0,35500.0,1.0,18300,1,0,0,0,0,0,0,0,1,0,0
92.0,18000.0,2.0,18300,1,0,0,0,0,0,0,0,1,0,0
92.0,40000.0,2.0,18290,1,0,0,0,0,0,0,0,1,0,0
85.0,14551.0,1.0,18250,1,0,0,0,0,0,0,0,1,0,0
85.0,16500.0,1.0,18200,1,0,0,0,0,0,0,0,1,0,0
85.0,26700.0,3.0,18185,1,0,0,0,0,0,0,0,1,0,0
70.0,8000.0,2.0,18150,1,0,0,0,0,0,0,0,1,0,0
85.0,15000.0,1.0,18000,1,0,0,0,0,0,0,0,1,0,0
92.0,14436.0,2.0,17998,1,0,0,0,0,0,0,0,1,0,0
92.0,72624.0,3.0,17998,1,0,0,0,0,0,0,0,1,0,0
66.0,13960.0,3.0,17990,1,0,0,0,0,0,0,0,1,0,0
92.0,40301.0,3.0,17990,1,0,0,0,0,0,0,0,1,0,0
71.0,19990.0,2.0,17990,1,0,0,0,0,0,0,0,1,0,0
70.0,3087.0,1.0,17990,1,0,0,0,0,0,0,0,1,0,0
66.0,37626.0,3.0,17989,1,0,0,0,0,0,0,0,1,0,0
70.0,22980.0,2.0,17980,1,0,0,0,0,0,0,0,1,0,0
66.0,57926.0,3.0,17980,1,0,0,0,0,0,0,0,1,0,0
92.0,3900.0,2.0,17970,1,0,0,0,0,0,0,0,1,0,0
92.0,7924.0,3.0,17980,1,0,0,0,0,0,0,0,1,0,0
85.0,6257.0,2.0,17970,1,0,0,0,0,0,0,0,1,0,0
85.0,29800.0,3.0,17950,1,0,0,0,0,0,0,0,1,0,0
70.0,35816.0,3.0,17950,1,0,0,0,0,0,0,0,1,0,0
92.0,12960.0,1.0,17950,1,0,0,0,0,0,0,0,1,0,0
70.0,8600.0,1.0,17950,1,0,0,0,0,0,0,0,1,0,0
70.0,14300.0,2.0,17950,1,0,0,0,0,0,0,0,1,0,0
70.0,9463.0,1.0,17944,1,0,0,0,0,0,0,0,1,0,0
92.0,20326.0,3.0,17940,1,0,0,0,0,0,0,0,1,0,0
70.0,70000.0,3.0,17950,1,0,0,0,0,0,0,0,1,0,0
66.0,23664.0,1.0,17500,1,0,0,0,0,0,0,0,1,0,0
66.0,51900.0,3.0,17500,1,0,0,0,0,0,0,0,1,0,0
70.0,15000.0,2.0,17500,1,0,0,0,0,0,0,0,1,0,0
92.0,33000.0,3.0,17500,1,0,0,0,0,0,0,0,1,0,0
66.0,12000.0,3.0,17450,1,0,0,0,0,0,0,0,1,0,0
66.0,42000.0,2.0,17500,1,0,0,0,0,0,0,0,1,0,0
85.0,25976.0,2.0,17930,1,0,0,0,0,0,0,0,1,0,0
70.0,26299.0,2.0,17500,1,0,0,0,0,0,0,0,1,0,0
70.0,40000.0,2.0,17495,1,0,0,0,0,0,0,0,1,0,0
66.0,36530.0,2.0,17490,1,0,0,0,0,0,0,0,1,0,0
67.0,29159.0,2.0,17490,1,0,0,0,0,0,0,0,1,0,0
141.0,55000.0,3.0,17490,1,0,0,0,0,0,0,0,1,0,0
70.0,40133.0,3.0,17449,1,0,0,0,0,0,0,0,1,0,0
92.0,38562.0,2.0,17445,1,0,0,0,0,0,0,0,1,0,0
70.0,7300.0,1.0,17444,1,0,0,0,0,0,0,0,1,0,0
92.0,10457.0,2.0,17440,1,0,0,0,0,0,0,0,1,0,0
70.0,27058.0,3.0,17420,1,0,0,0,0,0,0,0,1,0,0
70.0,38344.0,3.0,17450,1,0,0,0,0,0,0,0,1,0,0
110.0,45276.0,3.0,17445,1,0,0,0,0,0,0,0,1,0,0
70.0,16607.0,1.0,17370,1,0,0,0,0,0,0,0,1,0,0
70.0,26462.0,3.0,17350,1,0,0,0,0,0,0,0,1,0,0
66.0,62000.0,2.0,17900,1,0,0,0,0,0,0,0,1,0,0
85.0,40257.0,2.0,17930,1,0,0,0,0,0,0,0,1,0,0
85.0,36709.0,3.0,17920,1,0,0,0,0,0,0,0,1,0,0
70.0,25330.0,2.0,17900,1,0,0,0,0,0,0,0,1,0,0
66.0,11300.0,3.0,17900,1,0,0,0,0,0,0,0,1,0,0
70.0,10170.0,1.0,17900,1,0,0,0,0,0,0,0,1,0,0
85.0,12260.0,1.0,17900,1,0,0,0,0,0,0,0,1,0,0
70.0,44604.0,3.0,17900,1,0,0,0,0,0,0,0,1,0,0
71.0,25751.0,2.0,17900,1,0,0,0,0,0,0,0,1,0,0
70.0,13000.0,2.0,17900,1,0,0,0,0,0,0,0,1,0,0
70.0,63136.0,3.0,17900,1,0,0,0,0,0,0,0,1,0,0
85.0,21900.0,2.0,17900,1,0,0,0,0,0,0,0,1,0,0
70.0,23357.0,3.0,17900,1,0,0,0,0,0,0,0,1,0,0
110.0,40000.0,3.0,17900,1,0,0,0,0,0,0,0,1,0,0
70.0,63136.0,3.0,17900,1,0,0,0,0,0,0,0,1,0,0
92.0,27950.0,3.0,17890,1,0,0,0,0,0,0,0,1,0,0
70.0,3150.0,3.0,16900,1,0,0,0,0,0,0,0,1,0,0
70.0,4810.0,1.0,17900,1,0,0,0,0,0,0,0,1,0,0
66.0,32700.0,2.0,16900,1,0,0,0,0,0,0,0,1,0,0
66.0,67790.0,3.0,16900,1,0,0,0,0,0,0,0,1,0,0
85.0,63500.0,2.0,17890,1,0,0,0,0,0,0,0,1,0,0
93.0,37702.0,2.0,17900,1,0,0,0,0,0,0,0,1,0,0
66.0,40164.0,2.0,17900,1,0,0,0,0,0,0,0,1,0,0
71.0,47750.0,3.0,16900,1,0,0,0,0,0,0,0,1,0,0
92.0,39600.0,3.0,16890,1,0,0,0,0,0,0,0,1,0,0
70.0,29200.0,3.0,16890,1,0,0,0,0,0,0,0,1,0,0
70.0,32103.0,3.0,16880,1,0,0,0,0,0,0,0,1,0,0
70.0,19700.0,2.0,16880,1,0,0,0,0,0,0,0,1,0,0
70.0,6680.0,2.0,16880,1,0,0,0,0,0,0,0,1,0,0
92.0,49100.0,3.0,16880,1,0,0,0,0,0,0,0,1,0,0
92.0,30348.0,3.0,16879,1,0,0,0,0,0,0,0,1,0,0
66.0,7680.0,2.0,16870,1,0,0,0,0,0,0,0,1,0,0
66.0,36400.0,3.0,16850,1,0,0,0,0,0,0,0,1,0,0
92.0,49800.0,3.0,16840,1,0,0,0,0,0,0,0,1,0,0
92.0,50200.0,3.0,16830,1,0,0,0,0,0,0,0,1,0,0
92.0,47500.0,3.0,16876,1,0,0,0,0,0,0,0,1,0,0
70.0,24762.0,2.0,16820,1,0,0,0,0,0,0,0,1,0,0
70.0,36236.0,3.0,16800,1,0,0,0,0,0,0,0,1,0,0
92.0,38831.0,3.0,16790,1,0,0,0,0,0,0,0,1,0,0
66.0,18556.0,2.0,16780,1,0,0,0,0,0,0,0,1,0,0
85.0,36625.0,3.0,16530,1,0,0,0,0,0,0,0,1,0,0
92.0,25000.0,3.0,16500,1,0,0,0,0,0,0,0,1,0,0
85.0,36041.0,2.0,16500,1,0,0,0,0,0,0,0,1,0,0
85.0,36500.0,3.0,16500,1,0,0,0,0,0,0,0,1,0,0
92.0,25000.0,3.0,16500,1,0,0,0,0,0,0,0,1,0,0
85.0,66000.0,3.0,16500,1,0,0,0,0,0,0,0,1,0,0
67.0,90000.0,3.0,16490,1,0,0,0,0,0,0,0,1,0,0
70.0,14000.0,3.0,16490,1,0,0,0,0,0,0,0,1,0,0
70.0,16081.0,3.0,16490,1,0,0,0,0,0,0,0,1,0,0
92.0,32863.0,3.0,16480,1,0,0,0,0,0,0,0,1,0,0
70.0,54889.0,3.0,16480,1,0,0,0,0,0,0,0,1,0,0
70.0,18392.0,3.0,16450,1,0,0,0,0,0,0,0,1,0,0
92.0,40800.0,3.0,16480,1,0,0,0,0,0,0,0,1,0,0
66.0,60490.0,3.0,16480,1,0,0,0,0,0,0,0,1,0,0
70.0,33142.0,3.0,16444,1,0,0,0,0,0,0,0,1,0,0
92.0,40500.0,3.0,16430,1,0,0,0,0,0,0,0,1,0,0
92.0,13819.0,3.0,16443,1,0,0,0,0,0,0,0,1,0,0
66.0,18800.0,3.0,17300,1,0,0,0,0,0,0,0,1,0,0
92.0,40550.0,3.0,17240,1,0,0,0,0,0,0,0,1,0,0
70.0,25000.0,3.0,17150,1,0,0,0,0,0,0,0,1,0,0
85.0,46000.0,2.0,17000,1,0,0,0,0,0,0,0,1,0,0
85.0,31987.0,2.0,16999,1,0,0,0,0,0,0,0,1,0,0
110.0,52800.0,3.0,16999,1,0,0,0,0,0,0,0,1,0,0
67.0,57178.0,3.0,16995,1,0,0,0,0,0,0,0,1,0,0
85.0,36500.0,2.0,16990,1,0,0,0,0,0,0,0,1,0,0
70.0,14000.0,2.0,16990,1,0,0,0,0,0,0,0,1,0,0
92.0,59500.0,3.0,16980,1,0,0,0,0,0,0,0,1,0,0
85.0,26861.0,3.0,16970,1,0,0,0,0,0,0,0,1,0,0
70.0,13200.0,1.0,16950,1,0,0,0,0,0,0,0,1,0,0
70.0,19177.0,2.0,16975,1,0,0,0,0,0,0,0,1,0,0
70.0,19044.0,2.0,16950,1,0,0,0,0,0,0,0,1,0,0
70.0,40500.0,3.0,16930,1,0,0,0,0,0,0,0,1,0,0
66.0,33000.0,2.0,16900,1,0,0,0,0,0,0,0,1,0,0
66.0,21000.0,2.0,16900,1,0,0,0,0,0,0,0,1,0,0
85.0,58033.0,3.0,16900,1,0,0,0,0,0,0,0,1,0,0
85.0,32000.0,2.0,16900,1,0,0,0,0,0,0,0,1,0,0
70.0,12500.0,3.0,17890,1,0,0,0,0,0,0,0,1,0,0
66.0,36530.0,2.0,17890,1,0,0,0,0,0,0,0,1,0,0
70.0,5991.0,1.0,17880,1,0,0,0,0,0,0,0,1,0,0
70.0,33306.0,2.0,17880,1,0,0,0,0,0,0,0,1,0,0
92.0,52896.0,3.0,17850,1,0,0,0,0,0,0,0,1,0,0
85.0,32000.0,2.0,17750,1,0,0,0,0,0,0,0,1,0,0
92.0,9998.0,2.0,17820,1,0,0,0,0,0,0,0,1,0,0
67.0,49198.0,3.0,17790,1,0,0,0,0,0,0,0,1,0,0
66.0,28600.0,2.0,17777,1,0,0,0,0,0,0,0,1,0,0
92.0,59000.0,2.0,17820,1,0,0,0,0,0,0,0,1,0,0
70.0,10300.0,1.0,17770,1,0,0,0,0,0,0,0,1,0,0
70.0,24550.0,2.0,17700,1,0,0,0,0,0,0,0,1,0,0
85.0,26000.0,3.0,17700,1,0,0,0,0,0,0,0,1,0,0
70.0,40800.0,3.0,17700,1,0,0,0,0,0,0,0,1,0,0
70.0,24550.0,2.0,17700,1,0,0,0,0,0,0,0,1,0,0
70.0,7701.0,1.0,17660,1,0,0,0,0,0,0,0,1,0,0
92.0,19500.0,2.0,17650,1,0,0,0,0,0,0,0,1,0,0
66.0,45605.0,2.0,17650,1,0,0,0,0,0,0,0,1,0,0
92.0,45200.0,3.0,17530,1,0,0,0,0,0,0,0,1,0,0
70.0,22500.0,2.0,17500,1,0,0,0,0,0,0,0,1,0,0
85.0,44585.0,3.0,15420,1,0,0,0,0,0,0,0,1,0,0
70.0,32750.0,3.0,15250,1,0,0,0,0,0,0,0,1,0,0
66.0,61980.0,3.0,15250,1,0,0,0,0,0,0,0,1,0,0
70.0,37500.0,2.0,15190,1,0,0,0,0,0,0,0,1,0,0
85.0,63668.0,3.0,15090,1,0,0,0,0,0,0,0,1,0,0
66.0,49600.0,3.0,15200,1,0,0,0,0,0,0,0,1,0,0
85.0,76275.0,3.0,15180,1,0,0,0,0,0,0,0,1,0,0
85.0,46900.0,3.0,15380,1,0,0,0,0,0,0,0,1,0,0
85.0,63668.0,3.0,15090,1,0,0,0,0,0,0,0,1,0,0
85.0,63668.0,3.0,15090,1,0,0,0,0,0,0,0,1,0,0
85.0,63668.0,3.0,15090,1,0,0,0,0,0,0,0,1,0,0
85.0,63668.0,3.0,15090,1,0,0,0,0,0,0,0,1,0,0
85.0,63668.0,3.0,15090,1,0,0,0,0,0,0,0,1,0,0
85.0,63668.0,3.0,15090,1,0,0,0,0,0,0,0,1,0,0
85.0,63668.0,3.0,15090,1,0,0,0,0,0,0,0,1,0,0
85.0,63668.0,3.0,15090,1,0,0,0,0,0,0,0,1,0,0
70.0,10000.0,3.0,14250,1,0,0,0,0,0,0,0,1,0,0
85.0,63668.0,3.0,15090,1,0,0,0,0,0,0,0,1,0,0
66.0,49466.0,3.0,14450,1,0,0,0,0,0,0,0,1,0,0
85.0,63668.0,3.0,15090,1,0,0,0,0,0,0,0,1,0,0
70.0,48800.0,3.0,14470,1,0,0,0,0,0,0,0,1,0,0
85.0,94300.0,3.0,14350,1,0,0,0,0,0,0,0,1,0,0
70.0,18600.0,3.0,14210,1,0,0,0,0,0,0,0,1,0,0
66.0,67278.0,3.0,14300,1,0,0,0,0,0,0,0,1,0,0
66.0,69850.0,3.0,13892,1,0,0,0,0,0,0,0,1,0,0
85.0,46000.0,3.0,13990,1,0,0,0,0,0,0,0,1,0,0
70.0,10000.0,3.0,13950,1,0,0,0,0,0,0,0,1,0,0
66.0,108000.0,3.0,13900,1,0,0,0,0,0,0,0,1,0,0
85.0,63668.0,3.0,15090,1,0,0,0,0,0,0,0,1,0,0
85.0,63668.0,3.0,15090,1,0,0,0,0,0,0,0,1,0,0
85.0,63668.0,3.0,15090,1,0,0,0,0,0,0,0,1,0,0
85.0,63668.0,3.0,15090,1,0,0,0,0,0,0,0,1,0,0
85.0,63668.0,3.0,15090,1,0,0,0,0,0,0,0,1,0,0
85.0,63668.0,3.0,15090,1,0,0,0,0,0,0,0,1,0,0
85.0,63668.0,3.0,15090,1,0,0,0,0,0,0,0,1,0,0
85.0,63668.0,3.0,15090,1,0,0,0,0,0,0,0,1,0,0
85.0,63668.0,3.0,15090,1,0,0,0,0,0,0,0,1,0,0
85.0,63668.0,3.0,15090,1,0,0,0,0,0,0,0,1,0,0
85.0,63668.0,3.0,15090,1,0,0,0,0,0,0,0,1,0,0
85.0,63668.0,3.0,15090,1,0,0,0,0,0,0,0,1,0,0
70.0,35367.0,3.0,14990,1,0,0,0,0,0,0,0,1,0,0
85.0,63668.0,3.0,15090,1,0,0,0,0,0,0,0,1,0,0
85.0,63668.0,3.0,15090,1,0,0,0,0,0,0,0,1,0,0
85.0,63668.0,3.0,15090,1,0,0,0,0,0,0,0,1,0,0
85.0,78000.0,2.0,15000,1,0,0,0,0,0,0,0,1,0,0
85.0,137066.0,3.0,14998,1,0,0,0,0,0,0,0,1,0,0
85.0,34000.0,3.0,14990,1,0,0,0,0,0,0,0,1,0,0
70.0,9600.0,2.0,14990,1,0,0,0,0,0,0,0,1,0,0
66.0,88800.0,3.0,13880,1,0,0,0,0,0,0,0,1,0,0
66.0,59150.0,3.0,13500,1,0,0,0,0,0,0,0,1,0,0
66.0,110375.0,3.0,13480,1,0,0,0,0,0,0,0,1,0,0
70.0,26310.0,1.0,13450,1,0,0,0,0,0,0,0,1,0,0
70.0,65000.0,3.0,13250,1,0,0,0,0,0,0,0,1,0,0
66.0,49351.0,3.0,14990,1,0,0,0,0,0,0,0,1,0,0
66.0,49351.0,3.0,14990,1,0,0,0,0,0,0,0,1,0,0
66.0,58380.0,3.0,13599,1,0,0,0,0,0,0,0,1,0,0
66.0,49351.0,3.0,14990,1,0,0,0,0,0,0,0,1,0,0
66.0,49351.0,3.0,14990,1,0,0,0,0,0,0,0,1,0,0
66.0,49351.0,3.0,14990,1,0,0,0,0,0,0,0,1,0,0
66.0,49351.0,3.0,14990,1,0,0,0,0,0,0,0,1,0,0
66.0,49351.0,3.0,14990,1,0,0,0,0,0,0,0,1,0,0
66.0,49351.0,3.0,14990,1,0,0,0,0,0,0,0,1,0,0
66.0,49351.0,3.0,14990,1,0,0,0,0,0,0,0,1,0,0
66.0,49351.0,3.0,14990,1,0,0,0,0,0,0,0,1,0,0
85.0,31100.0,3.0,15700,1,0,0,0,0,0,0,0,1,0,0
92.0,79244.0,3.0,15680,1,0,0,0,0,0,0,0,1,0,0
66.0,49351.0,3.0,14990,1,0,0,0,0,0,0,0,1,0,0
85.0,58722.0,3.0,15750,1,0,0,0,0,0,0,0,1,0,0
66.0,49351.0,3.0,14990,1,0,0,0,0,0,0,0,1,0,0
66.0,49351.0,3.0,14990,1,0,0,0,0,0,0,0,1,0,0
70.0,11725.0,3.0,15660,1,0,0,0,0,0,0,0,1,0,0
85.0,41600.0,3.0,15750,1,0,0,0,0,0,0,0,1,0,0
85.0,56000.0,3.0,11000,1,0,0,0,0,0,0,0,1,0,0
66.0,49351.0,3.0,14990,1,0,0,0,0,0,0,0,1,0,0
66.0,49351.0,3.0,14990,1,0,0,0,0,0,0,0,1,0,0
66.0,49351.0,3.0,14990,1,0,0,0,0,0,0,0,1,0,0
66.0,49351.0,3.0,14990,1,0,0,0,0,0,0,0,1,0,0
